run_id,commit_sha,commit_message,workflow_name,status,workflow_duration,job_name,job_duration,test_count,test_failures,test_errors,test_duration_total,timestamp
27101771617,ad5c4513,chore: baseline run 3 - stability check,CI Sequential,success,63.0,test,18.0,104,0,0,0.151,2026-06-07T18:58:37Z
27101771617,ad5c4513,chore: baseline run 3 - stability check,CI Sequential,success,63.0,build-artifact,11.0,104,0,0,0.151,2026-06-07T18:58:37Z
27101771606,ad5c4513,chore: baseline run 3 - stability check,CI Parallel,success,43.0,test,23.0,104,0,0,0.175,2026-06-07T18:58:37Z
27101771606,ad5c4513,chore: baseline run 3 - stability check,CI Parallel,success,43.0,lint,19.0,104,0,0,0.175,2026-06-07T18:58:37Z
27101771606,ad5c4513,chore: baseline run 3 - stability check,CI Parallel,success,43.0,build-artifact,12.0,104,0,0,0.175,2026-06-07T18:58:37Z
27101721797,c3fe74eb,chore: baseline run 2 - stability check,CI Parallel,success,44.0,lint,18.0,104,0,0,0.191,2026-06-07T18:56:25Z
27101721797,c3fe74eb,chore: baseline run 2 - stability check,CI Parallel,success,44.0,test,22.0,104,0,0,0.191,2026-06-07T18:56:25Z
27101721797,c3fe74eb,chore: baseline run 2 - stability check,CI Parallel,success,44.0,build-artifact,14.0,104,0,0,0.191,2026-06-07T18:56:25Z
27101721791,c3fe74eb,chore: baseline run 2 - stability check,CI Sequential,success,69.0,lint,20.0,104,0,0,0.174,2026-06-07T18:56:25Z
27101721791,c3fe74eb,chore: baseline run 2 - stability check,CI Sequential,success,69.0,test,25.0,104,0,0,0.174,2026-06-07T18:56:25Z
27101721791,c3fe74eb,chore: baseline run 2 - stability check,CI Sequential,success,69.0,build-artifact,14.0,104,0,0,0.174,2026-06-07T18:56:25Z
27101687780,011e972b,feat: initial project setup - baseline experiment,CI Sequential,success,69.0,lint,23.0,104,0,0,0.147,2026-06-07T18:55:00Z
27101687780,011e972b,feat: initial project setup - baseline experiment,CI Sequential,success,69.0,test,21.0,104,0,0,0.147,2026-06-07T18:55:00Z
27101687780,011e972b,feat: initial project setup - baseline experiment,CI Sequential,success,69.0,build-artifact,14.0,104,0,0,0.147,2026-06-07T18:55:00Z
27101687778,011e972b,feat: initial project setup - baseline experiment,CI Parallel,success,43.0,test,24.0,104,0,0,0.173,2026-06-07T18:55:00Z
27101687778,011e972b,feat: initial project setup - baseline experiment,CI Parallel,success,43.0,lint,21.0,104,0,0,0.173,2026-06-07T18:55:00Z
27101687778,011e972b,feat: initial project setup - baseline experiment,CI Parallel,success,43.0,build-artifact,11.0,104,0,0,0.173,2026-06-07T18:55:00Z
